name,stationID,date,weekday,hours,longitude,latitude,real_flow,pop_density,land_use_mix,num_accommodation,num_sports_leisure,num_public_facilities,num_companies,num_healthcare,num_business_residential,num_gov_org,num_auto_sales,num_life_services,num_cultural_education,num_shopping,num_finance,num_scenic_spots,num_catering,num_parking,num_bus_stops,road_density_km,intersection_density_km,connectivity,distance_to_nearest_CBD
北竹林,37,20240330,5,16,117.1666038,39.1591394,264.0,63480,0.4427987648155008,9.0,4.0,7.0,13.0,8.0,17.0,67.0,0.0,59.0,10.0,56.0,0.0,4.0,42.0,48.0,8.0,52.60519000885517,91.16310519727688,4.896174863387978,2.8954777075576925
西南楼,84,20240326,1,23,117.2098253,39.0945903,103.0,35618,0.1824031521938063,29.0,93.0,127.0,141.0,112.0,86.0,185.0,21.0,530.0,105.0,901.0,72.0,7.0,556.0,263.0,15.0,23.94679372131768,51.80854065854288,4.423076923076923,0.5593706456325833
靖江路,104,20250327,3,9,117.238086,39.141949,2091.0,21704,0.0,13.0,35.0,5.0,58.0,57.0,36.0,74.0,3.0,249.0,25.0,276.0,19.0,3.0,214.0,120.0,13.0,22.24899386249332,54.2993358825204,4.220183486238532,2.4309307628737336
景荷道,157,20240329,4,18,117.2773219,39.0195566,348.0,1074,0.2055124296135107,33.0,32.0,0.0,40.0,32.0,21.0,34.0,0.0,126.0,38.0,99.0,6.0,0.0,197.0,55.0,9.0,17.305722509509867,30.88586077722153,5.532258064516129,9.61961146731294
本溪路,4,20230326,6,9,117.1330543,39.1842004,98.0,30701,0.0738365542323236,42.0,21.0,7.0,58.0,30.0,46.0,108.0,0.0,144.0,45.0,253.0,7.0,3.0,190.0,51.0,14.0,16.393263518878666,30.38770173242263,4.295081967213115,6.78554051583094
梅江会展中心,67,20230327,0,19,117.2110148,39.0437736,260.0,218,0.4058879751326356,7.0,22.0,5.0,15.0,6.0,8.0,9.0,0.0,49.0,28.0,32.0,4.0,3.0,42.0,55.0,3.0,22.231243627848546,193.78386842479307,7.57840616966581,5.172506087896772
滨海国际机场,29,20240327,2,21,117.3552221,39.1319209,274.0,305,0.5866275930936097,0.0,0.0,120.0,1.0,0.0,0.0,4.0,0.0,24.0,0.0,36.0,8.0,0.0,23.0,14.0,5.0,44.59472786806265,222.17893397794973,6.201793721973094,8.69826441739024
十一经路,131,20250324,0,13,117.2175163,39.1204458,452.0,29710,0.2281567344537279,57.0,96.0,34.0,158.0,92.0,98.0,144.0,6.0,402.0,86.0,691.0,62.0,15.0,466.0,280.0,15.0,46.527542704559046,168.3777571403283,5.218934911242603,0.5741484602706105
王顶堤,82,20250327,3,7,117.1319321,39.0907112,2019.0,1942,0.018225516470897,11.0,22.0,14.0,103.0,50.0,49.0,73.0,0.0,194.0,43.0,253.0,17.0,4.0,213.0,89.0,11.0,33.70032834242553,83.19256048056978,5.251497005988024,6.474685580465853
西北角,7,20230326,6,12,117.1649963,39.1459553,2322.0,26607,0.0420193975683091,63.0,59.0,32.0,85.0,90.0,61.0,105.0,6.0,393.0,158.0,403.0,55.0,9.0,394.0,187.0,15.0,21.180639840119007,39.85272358349902,5.2375,1.7637065766655176
职业大学,71,20230330,3,11,117.1753791,39.2301237,69.0,899,0.2177227257334913,4.0,4.0,1.0,2.0,0.0,11.0,2.0,0.0,25.0,12.0,16.0,2.0,1.0,52.0,5.0,2.0,13.33196413807078,20.42452083654545,4.804878048780488,10.54990991546994
西北角,7,20230331,4,6,117.1649963,39.1459553,862.0,26607,0.0420193975683091,63.0,59.0,32.0,85.0,90.0,61.0,105.0,6.0,393.0,158.0,403.0,55.0,9.0,394.0,187.0,15.0,21.180639840119007,39.85272358349902,5.2375,1.7637065766655176
跃进北路,101,20230330,3,14,117.3128878,39.1129289,9.0,2648,0.4947413951584483,0.0,5.0,1.0,10.0,2.0,15.0,5.0,0.0,30.0,2.0,52.0,0.0,1.0,15.0,34.0,4.0,14.339801600347258,23.91163415010856,4.4375,5.165984241399295
南何庄,47,20230330,3,23,117.2847512,39.2051927,12.0,7557,0.3397233076859218,3.0,3.0,2.0,46.0,4.0,3.0,6.0,1.0,50.0,1.0,86.0,0.0,0.0,29.0,5.0,4.0,6.89659885495314,5.479749492731632,5.363636363636363,9.348789365357266
西北角,7,20240326,1,19,117.1649963,39.1459553,2065.0,26607,0.0263528651298979,64.0,73.0,32.0,78.0,87.0,56.0,91.0,7.0,334.0,114.0,496.0,56.0,12.0,436.0,209.0,15.0,25.105689497159023,42.84167785226145,5.441860465116279,1.7637065766655176
梅江道,64,20240330,5,19,117.2192488,39.0684011,129.0,9433,0.0738184961816191,7.0,15.0,2.0,90.0,29.0,31.0,44.0,0.0,130.0,29.0,463.0,25.0,2.0,122.0,86.0,13.0,23.41566055629844,50.8122225689673,5.637254901960785,2.487574421352306
渌水道,160,20230328,1,16,117.263413,39.0444091,542.0,3937,0.1744806621391171,7.0,13.0,3.0,15.0,18.0,15.0,30.0,0.0,73.0,20.0,76.0,2.0,4.0,80.0,50.0,14.0,16.600137557392657,41.84535976268516,4.476190476190476,6.6964074419098205
吴家窑,190,20230325,5,18,117.1799119,39.0997246,921.0,34550,0.0487938526030733,49.0,40.0,16.0,75.0,84.0,78.0,138.0,0.0,339.0,134.0,372.0,50.0,2.0,300.0,175.0,12.0,27.03419452115306,76.71649289825567,5.045454545454546,3.053552839329076
屿东城,123,20240328,3,22,117.2735609,39.1463782,262.0,16826,0.0890155796378577,16.0,34.0,5.0,65.0,35.0,26.0,43.0,0.0,207.0,52.0,239.0,14.0,7.0,219.0,84.0,13.0,20.41633673877052,38.35824644913277,4.6103896103896105,2.930730845246451
西南角,172,20240329,4,18,117.1657359,39.1363314,5750.0,67095,0.0314502728551524,203.0,135.0,64.0,120.0,148.0,96.0,141.0,16.0,769.0,182.0,984.0,72.0,9.0,731.0,281.0,10.0,30.23108865841441,90.16678710769366,5.718232044198895,1.2497498466226618
徐庄子,44,20240331,6,12,117.248118,39.1907159,75.0,1917,0.1944589815813004,13.0,4.0,4.0,172.0,7.0,8.0,8.0,6.0,64.0,5.0,129.0,0.0,0.0,51.0,23.0,4.0,9.900320654218898,13.450294209436,4.851851851851852,7.399468365466436
洪湖里,6,20240330,5,12,117.1554917,39.1697729,1759.0,30868,0.0217179697404514,58.0,40.0,16.0,28.0,73.0,65.0,119.0,1.0,277.0,57.0,446.0,35.0,3.0,459.0,106.0,11.0,15.809855292939655,27.89690650845563,4.839285714285714,4.382312138495212
新开河,41,20240327,2,7,117.1967075,39.1677847,613.0,38340,0.2534403616793064,22.0,48.0,13.0,74.0,61.0,44.0,67.0,2.0,186.0,42.0,182.0,13.0,5.0,202.0,93.0,12.0,35.891014166728255,47.32510925541855,5.021052631578947,3.881582502615903
肿瘤医院,90,20240326,1,21,117.1776162,39.0781214,603.0,3170,0.1200372990732489,228.0,58.0,8.0,63.0,82.0,53.0,95.0,0.0,188.0,46.0,170.0,34.0,4.0,243.0,176.0,11.0,20.44779980731229,53.303017792959295,5.158878504672897,3.3492493085809474
芥园西道,20,20230330,3,10,117.1136884,39.1410386,326.0,9787,0.2548377676926058,37.0,53.0,39.0,115.0,29.0,31.0,44.0,2.0,237.0,30.0,375.0,14.0,3.0,252.0,60.0,10.0,19.1909925058527,32.3803379115929,5.153846153846154,5.768671918680486
西南楼,84,20240328,3,20,117.2098253,39.0945903,606.0,35618,0.1824031521938063,29.0,93.0,127.0,141.0,112.0,86.0,185.0,21.0,530.0,105.0,901.0,72.0,7.0,556.0,263.0,15.0,23.94679372131768,51.80854065854288,4.423076923076923,0.5593706456325833
国山路,27,20230328,1,17,117.3033796,39.1532758,2054.0,5838,0.5526741814517545,0.0,1.0,2.0,4.0,4.0,7.0,10.0,10.0,16.0,3.0,15.0,2.0,0.0,10.0,16.0,4.0,14.479360779114833,13.450294209431204,3.555555555555556,5.276630342814699
东南角,92,20240327,2,18,117.1841761,39.1358427,2522.0,34704,0.3142617929041323,281.0,195.0,40.0,160.0,90.0,77.0,114.0,5.0,539.0,147.0,814.0,89.0,150.0,634.0,316.0,22.0,30.613681466446224,84.68703761495996,4.7,0.3506489068492953
解放南路,68,20230331,4,11,117.227572,39.0398411,265.0,224,0.2755979439134275,26.0,12.0,6.0,26.0,20.0,16.0,34.0,0.0,134.0,41.0,78.0,7.0,2.0,53.0,46.0,7.0,29.12343747547757,137.99005540788667,7.108303249097473,5.743561782634151
顺驰桥,26,20240329,4,12,117.2274761,39.1403733,799.0,20112,0.0327107230494225,42.0,43.0,8.0,65.0,44.0,58.0,94.0,1.0,184.0,29.0,187.0,10.0,1.0,115.0,122.0,11.0,22.1143366228822,56.790131106482654,4.12280701754386,2.1807018699281224
中医一附院,77,20250325,1,17,117.1781447,39.0448933,256.0,1168,0.3669239170579692,6.0,16.0,1.0,29.0,45.0,12.0,27.0,0.0,72.0,11.0,179.0,2.0,2.0,85.0,37.0,4.0,15.670204258322029,17.933725612578424,5.333333333333333,5.87976011820614
天士力,194,20250327,3,19,117.2086886,39.2048882,1042.0,4939,0.1193248114581554,18.0,29.0,7.0,42.0,26.0,17.0,67.0,19.0,144.0,26.0,127.0,13.0,2.0,141.0,51.0,3.0,24.0427034184849,43.83799594186309,5.602272727272728,8.117118209847805
金钟街,45,20240329,4,21,117.2609543,39.199109,124.0,8918,0.2818107859595066,9.0,10.0,4.0,146.0,18.0,13.0,16.0,0.0,120.0,12.0,739.0,13.0,0.0,95.0,21.0,5.0,16.332631004083577,24.40979319489449,5.918367346938775,8.326560360573689
张贵庄,130,20230331,4,11,117.3013541,39.0910733,94.0,3182,0.1242176336404577,9.0,31.0,12.0,48.0,67.0,51.0,120.0,1.0,368.0,47.0,398.0,34.0,3.0,324.0,72.0,12.0,11.866849733518867,24.90795223969148,4.34,5.460019996926003
学府工业区,202,20230327,0,6,117.0721866,39.0707374,24.0,251,0.5150304838109881,2.0,2.0,1.0,55.0,2.0,10.0,2.0,0.0,5.0,7.0,10.0,1.0,2.0,10.0,8.0,5.0,18.104066543797515,23.41347510531935,5.446808510638298,11.763699828315907
民航大学,103,20240326,1,19,117.3428035,39.1075241,104.0,11110,0.245824930250938,36.0,24.0,0.0,20.0,9.0,7.0,13.0,1.0,58.0,73.0,65.0,1.0,2.0,99.0,31.0,5.0,44.89584417900277,151.93850866217036,6.508196721311475,7.815780164580776
宜宾道,35,20230330,3,12,117.1430273,39.1257203,339.0,43210,0.0918196538724054,13.0,51.0,23.0,146.0,70.0,61.0,128.0,29.0,337.0,52.0,522.0,36.0,1.0,348.0,135.0,11.0,21.68472780229462,44.336154986654414,5.438202247191011,3.376615568555247
复兴门,13,20250325,1,6,117.2539407,39.076218,1111.0,37677,0.3120747550699198,6.0,25.0,13.0,74.0,33.0,46.0,56.0,0.0,96.0,39.0,93.0,12.0,3.0,71.0,42.0,8.0,40.95303133601612,77.214651943047,5.032258064516129,3.853257868267957
杨伍庄,201,20230328,1,6,117.0632428,39.0671446,76.0,260,0.5872371083350371,28.0,4.0,2.0,5.0,7.0,4.0,10.0,0.0,27.0,3.0,32.0,0.0,0.0,45.0,10.0,0.0,14.19065494448944,21.420838926133783,5.651162790697675,12.619997466585549
龙涵道,111,20240328,3,9,117.2808862,39.0946105,109.0,6565,0.1175730491102389,27.0,50.0,19.0,77.0,25.0,33.0,58.0,0.0,123.0,31.0,120.0,8.0,3.0,76.0,41.0,6.0,14.170971189594532,20.92267988133917,4.880952380952381,4.000040495035274
泰昌路,97,20250324,0,22,117.2501854,39.1213217,208.0,37847,0.1434933112856323,49.0,121.0,27.0,127.0,56.0,38.0,65.0,6.0,476.0,85.0,979.0,19.0,18.0,530.0,90.0,7.0,46.72019297805533,121.55080692970375,5.627049180327869,0.5267145206105116
东沽路,59,20250327,3,20,117.4019914,39.0110927,311.0,1399,0.5165491543464608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,12.074050233015637,12.453976119846626,4.8,17.889520649974042
南翠屏,31,20240329,4,7,117.1523094,39.0790129,1023.0,1645,0.3242058496895253,20.0,22.0,16.0,23.0,10.0,16.0,26.0,0.0,79.0,12.0,53.0,7.0,65.0,21.0,77.0,7.0,47.12071310229884,165.88696191636515,6.4324324324324325,5.396347092251259
左江道,65,20230330,3,14,117.2110755,39.0588817,530.0,492,0.1806764804375916,6.0,43.0,3.0,21.0,46.0,25.0,36.0,0.0,268.0,67.0,173.0,38.0,0.0,240.0,136.0,14.0,17.157454057641555,46.82695021063076,5.0638297872340425,3.493837378175801
景荷道,157,20250328,4,10,117.2773219,39.0195566,136.0,1074,0.1702337746377138,29.0,34.0,0.0,37.0,29.0,23.0,33.0,0.0,113.0,39.0,106.0,7.0,0.0,175.0,44.0,9.0,17.87506414386102,30.88586077722153,5.564516129032258,9.61961146731294
肿瘤医院,90,20250330,6,11,117.1776162,39.0781214,594.0,3170,0.1169462183952079,177.0,55.0,6.0,48.0,83.0,53.0,96.0,0.0,172.0,44.0,153.0,33.0,4.0,220.0,163.0,12.0,21.290024571082736,55.29565397213534,5.207207207207207,3.3492493085809474
津塘路,56,20230328,1,7,117.236451,39.1168457,1325.0,24258,0.1908361826169956,16.0,36.0,18.0,52.0,55.0,55.0,123.0,0.0,230.0,44.0,355.0,30.0,1.0,227.0,112.0,7.0,30.4820302839412,78.70912907742132,5.417721518987341,1.7947341646497474
大毕庄,46,20230327,0,22,117.272902,39.2020503,53.0,6691,0.3164943630349234,24.0,10.0,4.0,205.0,25.0,9.0,19.0,1.0,128.0,17.0,619.0,13.0,0.0,123.0,25.0,5.0,10.4080146670088,19.92636179175328,5.975,8.776052133808975
土城,11,20230326,6,6,117.2257459,39.0883597,601.0,65515,0.0114399142926391,23.0,45.0,20.0,87.0,70.0,56.0,114.0,6.0,273.0,59.0,583.0,41.0,4.0,309.0,212.0,11.0,15.110777729315346,33.37665600117966,3.850746268656717,1.1093105787149686
体育中心,57,20240330,5,23,117.1659902,39.0716338,36.0,2355,0.2228247119769649,197.0,154.0,21.0,117.0,61.0,58.0,51.0,0.0,330.0,61.0,364.0,19.0,2.0,354.0,105.0,6.0,21.808128604875883,47.32510925542167,5.242105263157895,4.565691308320372
鼓楼,22,20230328,1,9,117.1747949,39.1359178,1034.0,42411,0.0302118455652075,325.0,221.0,73.0,171.0,112.0,84.0,144.0,10.0,792.0,292.0,726.0,84.0,32.0,766.0,340.0,12.0,22.256291179902604,67.25147104716038,4.933333333333334,0.4681046294247662
财经大学,124,20250329,5,21,117.270656,39.0632123,133.0,5757,0.1263928880761527,8.0,34.0,5.0,18.0,29.0,25.0,51.0,2.0,188.0,68.0,257.0,4.0,2.0,257.0,56.0,15.0,27.159814991094954,79.70544716704175,5.775,5.805718367033671
双港,105,20240325,0,11,117.2709095,39.0299389,68.0,1117,0.1366708738667348,15.0,42.0,2.0,123.0,26.0,25.0,22.0,0.0,96.0,18.0,203.0,3.0,1.0,200.0,70.0,5.0,17.820301289417674,37.361928359535774,5.24,8.359511861455967
北竹林,37,20230329,2,23,117.1666038,39.1591394,6.0,63480,0.5143173181320561,13.0,5.0,8.0,13.0,7.0,12.0,70.0,0.0,60.0,14.0,60.0,0.0,4.0,45.0,45.0,8.0,48.79569178956603,89.17046901810143,4.916201117318436,2.8954777075576925
昌凌路,125,20240329,4,23,117.1771071,39.056163,75.0,771,0.083806836255196,14.0,36.0,3.0,39.0,46.0,34.0,45.0,0.0,190.0,31.0,149.0,16.0,4.0,140.0,91.0,8.0,18.004897401528652,19.42820274697053,5.230769230769231,4.903663459843095
西南角,172,20250329,5,10,117.1657359,39.1363314,2576.0,67095,0.0066381121994084,173.0,131.0,47.0,99.0,150.0,96.0,140.0,14.0,696.0,172.0,916.0,77.0,9.0,688.0,262.0,10.0,41.3533516896602,153.9311448413113,5.679611650485437,1.2497498466226618
长虹公园,173,20250328,4,11,117.1430894,39.1364212,1232.0,40639,0.143455659086117,15.0,68.0,24.0,131.0,72.0,72.0,129.0,1.0,214.0,63.0,532.0,20.0,13.0,231.0,136.0,9.0,24.952409854734512,52.3066997033509,5.666666666666667,3.2002446263798072
营口道,165,20250324,0,6,117.1915049,39.1174657,3088.0,33881,0.0288848451345691,116.0,329.0,86.0,148.0,136.0,202.0,234.0,10.0,828.0,237.0,1718.0,110.0,44.0,1418.0,293.0,21.0,37.02991254553795,188.30411893208003,5.328042328042328,1.3504067293743862
靖江路,104,20240331,6,8,117.238086,39.141949,1827.0,21704,0.0165719177360404,19.0,35.0,6.0,68.0,63.0,35.0,74.0,4.0,257.0,30.0,287.0,18.0,3.0,231.0,138.0,13.0,21.85167967192957,53.30301779293287,4.233644859813084,2.4309307628737336
二纬路,8,20230327,0,8,117.1683654,39.1301865,2843.0,68430,0.0282262440505119,215.0,176.0,44.0,139.0,130.0,107.0,133.0,12.0,562.0,190.0,634.0,77.0,10.0,734.0,265.0,13.0,29.653279334772403,101.62444513795964,5.642156862745098,1.166983257297716
张兴庄,193,20230331,4,18,117.2090476,39.1904391,1230.0,9487,0.0450980606640142,10.0,28.0,4.0,41.0,59.0,35.0,53.0,0.0,289.0,29.0,368.0,13.0,2.0,323.0,47.0,10.0,22.91714317514593,24.907952239689987,6.48,6.615569880354802
淮河道,72,20230326,6,10,117.1857889,39.2179069,156.0,4390,0.1027550337999155,14.0,17.0,5.0,32.0,17.0,21.0,43.0,1.0,66.0,22.0,81.0,5.0,2.0,103.0,31.0,14.0,21.658922771442214,45.33247307624576,5.857142857142857,9.19616429748056
登州南路,100,20250326,2,13,117.2988159,39.1154575,187.0,4865,0.291701615151255,17.0,16.0,4.0,28.0,13.0,11.0,12.0,0.0,63.0,16.0,88.0,1.0,1.0,33.0,17.0,7.0,15.911127225770445,22.41715701572107,5.2444444444444445,3.92017939767869
吴家窑,190,20230325,5,10,117.1799119,39.0997246,678.0,34550,0.0487938526030733,49.0,40.0,16.0,75.0,84.0,78.0,138.0,0.0,339.0,134.0,372.0,50.0,2.0,300.0,175.0,12.0,27.03419452115306,76.71649289825567,5.045454545454546,3.053552839329076
梅林路,61,20230325,5,15,117.2487299,39.0439674,440.0,3397,0.1264389605440266,1.0,10.0,3.0,23.0,25.0,16.0,21.0,0.0,106.0,38.0,127.0,8.0,0.0,86.0,22.0,12.0,15.726203514100565,30.387701732420087,4.590163934426229,5.995500752550691
崂山道,106,20240331,6,6,117.2774193,39.1376061,35.0,9792,0.0570800590337998,25.0,43.0,8.0,81.0,54.0,24.0,70.0,0.0,305.0,48.0,546.0,18.0,4.0,362.0,46.0,11.0,12.672487467217724,28.395065553244223,4.964912280701754,2.439890042259682
幸福公园,76,20230328,1,7,117.2380957,39.1530978,1335.0,26928,0.0399021102599553,18.0,24.0,12.0,64.0,89.0,63.0,86.0,0.0,298.0,47.0,424.0,26.0,4.0,357.0,102.0,11.0,17.014753494941573,41.84535976266517,5.511904761904762,3.5054608866601167
丽江道,119,20240329,4,14,117.1863921,39.0618087,60.0,476,0.0257195035097619,32.0,27.0,1.0,33.0,42.0,40.0,39.0,4.0,161.0,22.0,111.0,6.0,1.0,172.0,97.0,9.0,32.669446857466575,41.84535976267448,4.464285714285714,3.916202131747118
民航大学,103,20240330,5,8,117.3428035,39.1075241,146.0,11110,0.245824930250938,36.0,24.0,0.0,20.0,9.0,7.0,13.0,1.0,58.0,73.0,65.0,1.0,2.0,99.0,31.0,5.0,44.89584417900277,151.93850866217036,6.508196721311475,7.815780164580776
鼓楼,22,20230330,3,9,117.1747949,39.1359178,1258.0,42411,0.0302118455652075,325.0,221.0,73.0,171.0,112.0,84.0,144.0,10.0,792.0,292.0,726.0,84.0,32.0,766.0,340.0,12.0,22.256291179902604,67.25147104716038,4.933333333333334,0.4681046294247662
天拖,33,20240325,0,12,117.1431024,39.1079068,555.0,45868,0.0397010184544261,84.0,69.0,9.0,537.0,122.0,80.0,83.0,4.0,407.0,88.0,404.0,55.0,0.0,372.0,191.0,11.0,16.77604956759441,43.3398368970671,4.965517241379311,4.417500993380297
土城,11,20230325,5,22,117.2257459,39.0883597,585.0,65515,0.0114399142926391,23.0,45.0,20.0,87.0,70.0,56.0,114.0,6.0,273.0,59.0,583.0,41.0,4.0,309.0,212.0,11.0,15.110777729315346,33.37665600117966,3.850746268656717,1.1093105787149686
鞍山道,15,20230331,4,8,117.1818587,39.1191905,5464.0,41495,0.0582065916428215,193.0,187.0,52.0,210.0,202.0,169.0,227.0,0.0,745.0,231.0,515.0,76.0,27.0,669.0,294.0,15.0,19.443096556203663,76.71649289827718,4.032467532467533,1.799317252003026
友谊南路,118,20240325,0,11,117.2111507,39.062777,54.0,548,0.1037632328330443,9.0,40.0,5.0,33.0,37.0,24.0,43.0,0.0,193.0,54.0,115.0,39.0,0.0,166.0,127.0,16.0,16.271314262249362,40.350882628294734,4.444444444444445,3.0609663872092128
泰昌路,97,20230329,2,21,117.2501854,39.1213217,106.0,37847,0.1653466057078399,37.0,105.0,44.0,150.0,44.0,35.0,65.0,15.0,564.0,104.0,638.0,10.0,8.0,558.0,101.0,6.0,28.70335817242963,54.2993358825316,4.81651376146789,0.5267145206105116
文化中心,162,20230328,1,17,117.201156,39.0882375,1975.0,60432,0.3999962577268929,10.0,40.0,95.0,52.0,32.0,38.0,99.0,18.0,199.0,62.0,520.0,24.0,14.0,225.0,139.0,8.0,14.46587739287357,33.376656001186745,5.432835820895522,1.0575305424377448
天津宾馆,214,20240331,6,8,117.1924515,39.0844239,844.0,38846,0.3382591422984924,37.0,31.0,8.0,40.0,27.0,35.0,63.0,0.0,110.0,17.0,115.0,24.0,2.0,108.0,94.0,11.0,18.386567829965003,35.36929218035695,5.211267605633803,1.898994497030397
国瑞路,80,20230328,1,19,117.3839659,39.0210714,28.0,909,0.7075454664899149,2.0,0.0,26.0,4.0,0.0,3.0,2.0,0.0,11.0,11.0,4.0,0.0,0.0,7.0,8.0,3.0,17.818866576529956,46.82695021060859,5.882978723404255,16.0056478415184
津塘路,56,20230327,0,19,117.236451,39.1168457,292.0,24258,0.1908361826169956,16.0,36.0,18.0,52.0,55.0,55.0,123.0,0.0,230.0,44.0,355.0,30.0,1.0,227.0,112.0,7.0,30.4820302839412,78.70912907742132,5.417721518987341,1.7947341646497474
大王庄,132,20230329,2,10,117.211904,39.1261601,809.0,25713,0.3971881342180546,63.0,64.0,28.0,214.0,75.0,94.0,153.0,4.0,391.0,81.0,375.0,71.0,44.0,400.0,235.0,10.0,47.67772353807012,90.16678710767734,5.005524861878453,0.1999856783789545
民权门,43,20230326,6,14,117.2274714,39.1676988,314.0,52812,0.0341690360480189,10.0,17.0,14.0,50.0,32.0,33.0,67.0,0.0,208.0,38.0,530.0,14.0,2.0,216.0,75.0,11.0,21.65119402267341,52.80485874815797,6.179245283018868,4.973347226539963
水上公园东路,51,20240328,3,21,117.166517,39.0784225,505.0,2215,0.2722373374507419,188.0,136.0,27.0,88.0,61.0,46.0,35.0,0.0,357.0,58.0,329.0,44.0,112.0,363.0,146.0,7.0,34.61621174864967,122.5471250192752,6.845528455284553,4.233039414698636
二纬路,8,20250329,5,22,117.1683654,39.1301865,136.0,68430,0.0061578661675758,187.0,155.0,39.0,91.0,147.0,103.0,132.0,17.0,575.0,140.0,852.0,74.0,15.0,687.0,285.0,14.0,44.39278583676656,181.32989230498683,5.824175824175824,1.166983257297716
红旗南路,171,20230331,4,21,117.1429897,39.0916566,1552.0,13545,0.043238370123363,28.0,31.0,16.0,73.0,59.0,62.0,115.0,0.0,262.0,89.0,257.0,26.0,3.0,235.0,135.0,14.0,13.519963714806668,26.402429374068657,4.075471698113208,5.818884081929481
登州南路,100,20230328,1,20,117.2988159,39.1154575,43.0,4865,0.2570191067356868,18.0,9.0,4.0,26.0,5.0,11.0,12.0,1.0,60.0,16.0,100.0,2.0,0.0,38.0,14.0,7.0,14.338512020168988,23.41347510530868,5.191489361702128,3.92017939767869
国家会展中心,81,20250329,5,14,117.3775098,39.0278313,999.0,511,0.8301741292085019,0.0,0.0,66.0,4.0,0.0,2.0,7.0,0.0,17.0,36.0,3.0,0.0,0.0,19.0,19.0,2.0,34.136750602441325,126.03423833284566,5.691699604743083,15.07823164747612
方山道,109,20250324,0,19,117.283175,39.1091083,71.0,9651,0.2853859328945813,1.0,4.0,2.0,14.0,8.0,13.0,10.0,0.0,36.0,4.0,48.0,2.0,1.0,38.0,11.0,4.0,20.40101287963042,23.911634150099985,6.083333333333333,2.975355944161784
天津站,79,20250324,0,17,117.2045428,39.1367775,3488.0,22764,0.2870933192487548,281.0,53.0,15.0,102.0,70.0,61.0,79.0,0.0,300.0,48.0,281.0,63.0,21.0,302.0,225.0,18.0,84.32175522601544,214.7065483061966,5.640371229698376,1.1445102179050113
鼓楼,22,20230331,4,22,117.1747949,39.1359178,635.0,42411,0.0302118455652075,325.0,221.0,73.0,171.0,112.0,84.0,144.0,10.0,792.0,292.0,726.0,84.0,32.0,766.0,340.0,12.0,22.256291179902604,67.25147104716038,4.933333333333334,0.4681046294247662
财经大学,124,20250325,1,21,117.270656,39.0632123,80.0,5757,0.1263928880761527,8.0,34.0,5.0,18.0,29.0,25.0,51.0,2.0,188.0,68.0,257.0,4.0,2.0,257.0,56.0,15.0,27.159814991094954,79.70544716704175,5.775,5.805718367033671
泰昌路,97,20240327,2,17,117.2501854,39.1213217,1430.0,37847,0.1957980608290832,53.0,120.0,43.0,162.0,47.0,39.0,65.0,13.0,524.0,89.0,1080.0,18.0,18.0,604.0,105.0,7.0,36.53350043110982,77.71281098784338,5.301282051282051,0.5267145206105116
西南楼,84,20230329,2,18,117.2098253,39.0945903,1590.0,35618,0.1532128900694728,26.0,88.0,88.0,185.0,104.0,89.0,192.0,26.0,569.0,114.0,697.0,86.0,6.0,586.0,249.0,14.0,19.55185726229928,45.8306321210187,4.239130434782608,0.5593706456325833
金钟街,45,20240327,2,21,117.2609543,39.199109,138.0,8918,0.2818107859595066,9.0,10.0,4.0,146.0,18.0,13.0,16.0,0.0,120.0,12.0,739.0,13.0,0.0,95.0,21.0,5.0,16.332631004083577,24.40979319489449,5.918367346938775,8.326560360573689
十一经路,131,20230325,5,13,117.2175163,39.1204458,223.0,29710,0.2709371390548868,58.0,86.0,37.0,271.0,88.0,101.0,154.0,2.0,445.0,91.0,520.0,71.0,16.0,574.0,277.0,17.0,27.47305543490095,92.15942328686609,4.848648648648648,0.5741484602706105
肿瘤医院,90,20230328,1,13,117.1776162,39.0781214,843.0,3170,0.1439906507576774,211.0,61.0,8.0,70.0,89.0,58.0,100.0,1.0,223.0,52.0,204.0,43.0,5.0,271.0,170.0,12.0,20.296404722936884,53.8011768377533,5.148148148148148,3.3492493085809474
华苑,206,20240328,3,16,117.1222953,39.0859957,1983.0,1430,0.2423199855096256,17.0,54.0,7.0,319.0,37.0,43.0,60.0,9.0,199.0,57.0,155.0,27.0,0.0,192.0,118.0,13.0,37.51260326495173,74.22569767428519,5.805369127516778,7.416947928360577
六纬路,96,20250324,0,17,117.2216526,39.1146943,670.0,36754,0.3744655937873664,35.0,83.0,18.0,121.0,43.0,95.0,183.0,2.0,238.0,81.0,308.0,56.0,20.0,318.0,211.0,16.0,36.96311903660326,106.10787654103297,5.056338028169014,0.600395614114763
体育中心,57,20250326,2,8,117.1659902,39.0716338,286.0,2355,0.1998653285840215,153.0,142.0,16.0,98.0,60.0,58.0,51.0,1.0,294.0,57.0,305.0,19.0,3.0,299.0,94.0,6.0,26.728509351934896,63.76435773362077,5.375,4.565691308320372
李楼,60,20250327,3,13,117.3109139,39.0533173,262.0,239,0.1864567119671738,0.0,4.0,2.0,37.0,17.0,7.0,20.0,0.0,39.0,10.0,40.0,14.0,0.0,30.0,15.0,4.0,16.46067428439324,30.885860777209828,5.774193548387097,9.265141762597006
